person_id,email
75,Sadyr.Japarov@mybusiness.com
76,Bounnhang.Vorachith@mybusiness.com
77,Krisjanis.Karins@mybusiness.com
78,Hassan.Diab@mybusiness.com
79,Moeketsi.Majoro@mybusiness.com
80,George.Weah@mybusiness.com
81,Fayez.al-Sarraj@mybusiness.com
82,Gitanas.Nauseda@mybusiness.com
83,Xavier.Bettel@mybusiness.com
84,Andry.Rajoelina@mybusiness.com
85,Lazarus.Chakwera@mybusiness.com
86,Muhyiddin.Yassin@mybusiness.com
87,Robert.Abela@mybusiness.com
88,David.Kabua@mybusiness.com
89,Pravind.Jugnauth@mybusiness.com
90,Ion.Chicu@mybusiness.com
91,Khaltmaagiin.Battulga@mybusiness.com
92,Dusko.Markovic@mybusiness.com
93,Mohammed.VI@mybusiness.com
94,Filipe.Nyusi@mybusiness.com
95,Win.Myint@mybusiness.com
96,Hage.Geingob@mybusiness.com
97,Lionel.Aingimea@mybusiness.com
98,Mark.Rutte@mybusiness.com
99,Jacinda.Ardern@mybusiness.com
100,Daniel.Ortega@mybusiness.com
101,Mahamadou.Issoufou@mybusiness.com
102,Muhammadu.Buhari@mybusiness.com
103,Kim.Jong-un@mybusiness.com
104,Oliver.Spasovski@mybusiness.com
105,Erna.Solberg@mybusiness.com
106,Imran.Khan@mybusiness.com
107,Laurentino.Cortizo@mybusiness.com
108,James.Marape@mybusiness.com
109,Rodrigo.Duterte@mybusiness.com
110,Mateusz.Morawiecki@mybusiness.com
111,Andrzej.Duda@mybusiness.com
112,Klaus.Iohannis@mybusiness.com
113,Vladimir.Putin@mybusiness.com
114,Paul.Kagame@mybusiness.com
115,Allen.Chastanet@mybusiness.com
116,Alessandro.Cardelli@mybusiness.com
117,Evaristo.Carvalho@mybusiness.com
118,Macky.Sall@mybusiness.com
119,Ana.Brnabic@mybusiness.com
120,Wavel.Ramkalawan@mybusiness.com
121,Igor.Matovic@mybusiness.com
122,Janez.Jansa@mybusiness.com
123,Manasseh.Sogavare@mybusiness.com
124,Cyril.Ramaphosa@mybusiness.com
125,Moon.Jae-in@mybusiness.com
126,Pedro.Sanchez@mybusiness.com
127,Gotabaya.Rajapaksa@mybusiness.com
128,Timothy.Harris@mybusiness.com
129,Ralph.Gonsalves@mybusiness.com
130,Mahmoud.Abbas@mybusiness.com
131,Chan.Santokhi@mybusiness.com
132,Stefan.Lofven@mybusiness.com
133,Simonetta.Sommaruga@mybusiness.com
134,Bashar.al-Assad@mybusiness.com
135,Tsai.Ing-wen@mybusiness.com
136,Emomali.Rahmon@mybusiness.com
137,John.Magufuli@mybusiness.com
138,Prayut.Chan-o-cha@mybusiness.com
139,Francisco.Guterres@mybusiness.com
140,Faure.Gnassingbe@mybusiness.com
141,Keith.Rowley@mybusiness.com
142,Kais.Saied@mybusiness.com
143,Gurbanguly.Berdimuhamedow@mybusiness.com
144,Kausea.Natano@mybusiness.com
145,Yoweri.Museveni@mybusiness.com
146,Volodymyr.Zelensky@mybusiness.com
147,Boris.Johnson@mybusiness.com
148,Joe.Biden@mybusiness.com
149,Tabare.Vazquez@mybusiness.com
150,Shavkat.Mirziyoyev@mybusiness.com
151,Bob.Loughman@mybusiness.com
152,Nicolas.Maduro@mybusiness.com
153,Edgar.Lungu@mybusiness.com
154,Emmerson.Mnangagwa@mybusiness.com
